"The_Marketplace_Menu.htm+html.head.title:55-3","The Marketplace Menu","","URL_EN : https://manual.yoyogames.com/index.htm#t=IDE_Navigation%2FMenus%2FThe_Marketplace_Menu.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=IDE_Navigation%2FMenus%2FThe_Marketplace_Menu.htm"
"The_Marketplace_Menu.htm+html.head.title:59-3","The Marketplace Menu","","URL_EN : https://manual.yoyogames.com/index.htm#t=IDE_Navigation%2FMenus%2FThe_Marketplace_Menu.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=IDE_Navigation%2FMenus%2FThe_Marketplace_Menu.htm"
"The_Marketplace_Menu.htm+html.body.div.div.div[title]:73-7","The Marketplace Menu","","URL_EN : https://manual.yoyogames.com/index.htm#t=IDE_Navigation%2FMenus%2FThe_Marketplace_Menu.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=IDE_Navigation%2FMenus%2FThe_Marketplace_Menu.htm"
"The_Marketplace_Menu.htm+html.body.div.div.div:73-7","The Marketplace Menu","","URL_EN : https://manual.yoyogames.com/index.htm#t=IDE_Navigation%2FMenus%2FThe_Marketplace_Menu.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=IDE_Navigation%2FMenus%2FThe_Marketplace_Menu.htm"
#CSV_COMMENT_OUT#"The_Marketplace_Menu.htm+html.body.div.div.div[title]:76-7","Click here to see this page in full context",""
#CSV_COMMENT_OUT#"The_Marketplace_Menu.htm+html.body.div.div.div:76-7","Click here to see this page in full context",""
"The_Marketplace_Menu.htm+html.body.h1:86-3","The Marketplace Menu","","URL_EN : https://manual.yoyogames.com/index.htm#t=IDE_Navigation%2FMenus%2FThe_Marketplace_Menu.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=IDE_Navigation%2FMenus%2FThe_Marketplace_Menu.htm"
"The_Marketplace_Menu.htm+html.body.p.img[alt]:87-6","{IMG_TXT} The Marketplace Menu","","URL_EN : https://manual.yoyogames.com/index.htm#t=IDE_Navigation%2FMenus%2FThe_Marketplace_Menu.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=IDE_Navigation%2FMenus%2FThe_Marketplace_Menu.htm"
"The_Marketplace_Menu.htm+html.body.p:88-3","Apart from creating your own assets and code for your projects, you also have access to the GameMaker Studio 2 Marketplace where you can download both free and paid assets to be added to your projects. You can find out more about the Marketplace from the section on the <a href=""../../Introduction/The_Marketplace.htm"">GameMaker Marketplace</a>, and the options from this menu are given below:","","URL_EN : https://manual.yoyogames.com/index.htm#t=IDE_Navigation%2FMenus%2FThe_Marketplace_Menu.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=IDE_Navigation%2FMenus%2FThe_Marketplace_Menu.htm"
"The_Marketplace_Menu.htm+html.body.ul.li:91-5","<strong>Go to the Marketplace</strong> - Open the Marketplace window where you can browse for assets.","","URL_EN : https://manual.yoyogames.com/index.htm#t=IDE_Navigation%2FMenus%2FThe_Marketplace_Menu.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=IDE_Navigation%2FMenus%2FThe_Marketplace_Menu.htm"
"The_Marketplace_Menu.htm+html.body.ul.li:92-5","<strong>My Library</strong> - View your current Marketplace content library.","","URL_EN : https://manual.yoyogames.com/index.htm#t=IDE_Navigation%2FMenus%2FThe_Marketplace_Menu.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=IDE_Navigation%2FMenus%2FThe_Marketplace_Menu.htm"
"The_Marketplace_Menu.htm+html.body.ul.li:93-5","<strong>My Purchase History</strong> - This option will open a browser and take you to the account page for the logged in user so you can see the purchase history for that account.","","URL_EN : https://manual.yoyogames.com/index.htm#t=IDE_Navigation%2FMenus%2FThe_Marketplace_Menu.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=IDE_Navigation%2FMenus%2FThe_Marketplace_Menu.htm"
"The_Marketplace_Menu.htm+html.body.ul.li:94-5","<strong>Update Existing Package</strong> - This option will open the <strong>Update Package Wizard</strong> so you can update an existing Marketplace package that you have previously created.","","URL_EN : https://manual.yoyogames.com/index.htm#t=IDE_Navigation%2FMenus%2FThe_Marketplace_Menu.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=IDE_Navigation%2FMenus%2FThe_Marketplace_Menu.htm"
"The_Marketplace_Menu.htm+html.body.ul.li:95-5","<strong>Create Package</strong> - With this option you can open the <strong>Create Package Wizard</strong> to create a new asset package or tutorial for the Marketplace.","","URL_EN : https://manual.yoyogames.com/index.htm#t=IDE_Navigation%2FMenus%2FThe_Marketplace_Menu.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=IDE_Navigation%2FMenus%2FThe_Marketplace_Menu.htm"
"The_Marketplace_Menu.htm+html.body.div.div.div.div:103-9","Back: <a href=""../Menus.htm"">Menus</a>","","URL_EN : https://manual.yoyogames.com/index.htm#t=IDE_Navigation%2FMenus%2FThe_Marketplace_Menu.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=IDE_Navigation%2FMenus%2FThe_Marketplace_Menu.htm"
"The_Marketplace_Menu.htm+html.body.div.div.div.div:104-9","Next: <a href=""The_Layouts_Menu.htm"">The Layouts Menu</a>","","URL_EN : https://manual.yoyogames.com/index.htm#t=IDE_Navigation%2FMenus%2FThe_Marketplace_Menu.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=IDE_Navigation%2FMenus%2FThe_Marketplace_Menu.htm"
#CSV_COMMENT_OUT#"The_Marketplace_Menu.htm+html.body.div.h5:107-5","© Copyright YoYo Games Ltd. 2020 All Rights Reserved",""
"The_Marketplace_Menu.htm+html.body.p:116-1","{SEARCH_RESULT} Section on the Marketplace Menu","","URL_EN : https://manual.yoyogames.com/index.htm#t=IDE_Navigation%2FMenus%2FThe_Marketplace_Menu.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=IDE_Navigation%2FMenus%2FThe_Marketplace_Menu.htm"
"The_Marketplace_Menu.htm+html.body.p:116-55","{INDEX_KEYWORD} Menu - Marketplace","","URL_EN : https://manual.yoyogames.com/index.htm#t=IDE_Navigation%2FMenus%2FThe_Marketplace_Menu.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=IDE_Navigation%2FMenus%2FThe_Marketplace_Menu.htm"
