"Compiling.htm+html.body.ul.li:91-5","<strong>Show the compile window during compilation</strong>: By default the compile window will be shown when you compile your projects, even if the compile doc is closed (it will open for the compile). Unchecking this will switch this behavior off and the compile window will on be visible if open.","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FCompiling.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FCompiling.htm"
"Compiling.htm+html.body.ul.li:93-5","<strong>Show compiler commands in compile output</strong>: This is checked by default and forces the compiler to show all relevant commands in the compile window. Un-checking this will make the output smaller and have less information.","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FCompiling.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FCompiling.htm"
"Compiling.htm+html.body.ul.li:94-5","<strong>Show verbose compiler output</strong>: Checking this will force the compiler to show extra commands related to the compilation process. In general this is only required when debugging and may be requested by support should you have an issue. It is off by default (and this is the recommended setting).","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FCompiling.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FCompiling.htm"
"Compiling.htm+html.body.ul.li:96-5","<strong>Use Subst for drive paths</strong>: When this is checked, GameMaker Studio 2 will create - and remove again when no longer required - virtual drives to use as a substitution for full file paths. These virtual drives bypass any potential issue with file paths being too long for the OS (particularly when compiling for Android or using extensions) and it is recommended to have this enabled. However, if you are having issues with GameMaker Studio 2 creating virtual drives like this, you can disable the option. By default, this is enabled.","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FCompiling.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FCompiling.htm"
"Compiling.htm+html.body.ul.li:99-5","<strong>Show package in explorer on build completion</strong>: Checking this will make GameMaker Studio 2 open the OS explorer window at the location where the final executable package has been created. It is on by default.","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FCompiling.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FCompiling.htm"
"Compiling.htm+html.body.ul.li:100-5","<strong>Clear output window on compile start</strong>: By default the compiler window will clear all previous messages from the compile output window at the start of each build, however un-checking this will maintain previous compiler logs. This is on by default and is the recommended configuration since large compiler logs can slow down compile times.","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FCompiling.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FCompiling.htm"
"Compiling.htm+html.body.ul.li:102-5","<strong>Maximum parallel compile jobs</strong>: This value sets the maximum number of CPU cores to dedicate to compiling a project. The default value is 8 and in general you shouldn't have to change this, but if you are on a laptop or a lower end machine you may want to lower this value. The default is set to 8.","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FCompiling.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FCompiling.htm"
"Compiling.htm+html.body.div.div.div.div:111-9","Back: <a href=""../General_Preferences.htm"">General Preferences</a>","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FCompiling.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FCompiling.htm"
"Compiling.htm+html.body.div.div.div.div:112-9","Next: <a href=""Confirm_Dialogs.htm"">Confirm Dialog Preferences</a>","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FCompiling.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FCompiling.htm"
#CSV_COMMENT_OUT#"Compiling.htm+html.body.div.h5:115-5","© Copyright YoYo Games Ltd. 2020 All Rights Reserved",""
"Compiling.htm+html.body.p:124-1","{SEARCH_RESULT} The Compiling Preferences from the General Preferences section","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FCompiling.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FCompiling.htm"
"Compiling.htm+html.body.p:124-86","{INDEX_KEYWORD} Prefs - General - Compiling","","URL_EN : https://manual.yoyogames.com/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FCompiling.htm \n\nURL_JP : https://kuroko137.github.io/gms_manual_jp/index.htm#t=Setting_Up_And_Version_Information%2FIDE_Preferences%2FGeneral%2FCompiling.htm"
