Scripts.htm+html.head.title:55-3,Scripts,スクリプト
Scripts.htm+html.head.title:59-3,Scripts,スクリプト
Scripts.htm+html.body.div.div.div[title]:73-7,Scripts,スクリプト
Scripts.htm+html.body.div.div.div:73-7,Scripts,スクリプト
Scripts.htm+html.body.h1:86-3,The Script Editor,スクリプトエディタ
Scripts.htm+html.body.p.img[alt]:87-6,{IMG_TXT} The Script Editor,{IMG_TXT} スクリプトエディタ
Scripts.htm+html.body.p:87-3,"This section deals with the <strong>script editor</strong> (also called the <strong>text editor</strong>) which is where you type in all the code that your game will require to run. This editor is used for creating custom script assets, as well as for coding <a href=""Object_Properties/Object_Events.htm"">object events</a>, for adding <a href=""Room_Properties/Room_Properties.htm"">room creation code</a>, and for many other things, and as such, this section simply details how the script editor works, and <em>not</em> how to create script assets nor how to use Drag and Drop™ to make scripts. For that please see the following sections:","ここでは<strong>スクリプトエディタ</strong>（<strong>テキストエディタ</strong>とも呼びます）について扱います。このエディタにはゲームを動かすためのコードを入力することになり、スクリプトアセットの作成、<a href=""Object_Properties/Object_Events.htm"">オブジェクトイベント</a>のコーディング、<a href=""Room_Properties/Room_Properties.htm"">ルームの生成コード</a>追加など、さまざまな場面で呼び出されます。ここではスクリプトエディタの仕組みを簡単に紹介するに留め、スクリプトアセットの作り方や、Drag and Drop™ によるスクリプト構築については<em>取り上げません</em>。この2つについては以下を参照してください。"
Scripts.htm+html.body.ul.li:91-5,GML Scripts,GMLスクリプト
Scripts.htm+html.body.ul.li:92-5,DnD™ Scripts,DnD™スクリプト
Scripts.htm+html.body.p:94-3,"The script editor is where you write your GameMaker Language code, which is the built-in programming language that GameMaker Studio 2 uses (see the <a href=""../GameMaker_Language/GameMaker_Language_Index.htm"">GML Reference</a> section for more details). Once you become more familiar with GameMaker Studio 2 and want to use it to its fullest extent, it is advisable to start learning to use this language, as it greatly expands your possibilities when creating games.","スクリプトエディタには、GameMaker Studio 2の内蔵プログラミング言語であるGameMaker Languageのコードを書くことができます（詳しくは<a href=""../GameMaker_Language/GameMaker_Language_Index.htm"">GMLリファレンス</a>を参照してください）。GameMaker Studio 2に慣れてきて、最大限まで使いこなしたくなったら、ゲーム制作の可能性を広げるためにもこの言語を習得することをお勧めします。"
Scripts.htm+html.body.p:96-3,"A script asset can be named by right-clicking <img_tag=RMB_Icon:0> on it in the <a href=""../Introduction/The_Asset_Browser.htm"">Asset Browser</a> and selecting <em>Rename</em>, but note that the script name must conform to the scripting rules for functions, so they can only be alpha-numeric, must start with a letter, and the only symbol they can contain is the ""_"" under-bar symbol. The script editor in other places cannot be renamed and will have a name specific to what is being edited, like an object event for example.","スクリプトアセットは名前を変更でき、<a href=""../Introduction/The_Asset_Browser.htm"">アセットブラウザ</a>に並んでいるアセットを右クリック<img_tag=RMB_Icon:0>し、「<em>名前変更</em>」を選ぶと別の名前にできます。ただし関数のスクリプティング規則を守る必要があり、利用できるのは英数字のみ、最初の1文字は英字にしなければならず、入れられる記号は""_""（アンダーバー）のみとなります。スクリプトエディタが他の形で開かれている場合は変更できず、オブジェクトイベントなどといった編集対象の名前が入ります。"
Scripts.htm+html.body.p:99-3,When you open the script editor window it will have the following options and layout:,スクリプトエディタのウィンドウが開かれると、以下のオプション/レイアウトが表示されます。
Scripts.htm+html.body.p:100-3,"<span data-open-text=""true"">Script / Event Tab</span><span data-close-text=""true"">Script / Event Tab</span>","<span data-open-text=""true"">スクリプト / イベントタブ</span><span data-close-text=""true"">スクリプト / イベントタブ</span>"
Scripts.htm+html.body.div.p:102-5,"The script editor opens in a window with tabs across the top to let you have multiple scripts or events in one window (although this behaviour can be changed from the <a href=""../Setting_Up_And_Version_Information/IDE_Preferences/Text_Editor_Preferences.htm"">Preferences</a> to give a new window to each script or event). You can click <img_tag=LMB_Icon:0> on a tab and then drag it to change the tab order, or - if you prefer - you can pull it out of the current window and place it on the workspace to create a new window for that script (or add it to a different window), and you can also maximise the script editor to create a new workspace too. If you drag a script tab out of the <a class=""tooltip"" title=""TITLE_KEY::IDE"">IDE</a> window, then a new IDE will be spawned to hold this script resource, and it can be used as you would the Main window.","スクリプトエディタの上部にはタブが並んでおり、複数のスクリプトおよびイベントを1つのウィンドウで扱うことができます（この動作は<a href=""../Setting_Up_And_Version_Information/IDE_Preferences/Text_Editor_Preferences.htm"">環境設定</a>から変更でき、スクリプトおよびイベント別にウィンドウを開くこともできます）。タブはドラッグ<img_tag=LMB_Icon:0>して並び替えできるほか、ワークスペース内にドラッグすると新しいウィンドウが開きます（別のウィンドウに入れることも可能です）。また、エディタを最大化すると新しいワークスペースが開きます。タブは<a class=""tooltip"" title=""TITLE_KEY::IDE"">IDE</a>のウィンドウからドラッグして出すことも可能で、メインウィンドウと同じように扱える新しいIDEを開いてスクリプトリソースを編集できます。"
Scripts.htm+html.body.div.p:105-5,"Note that if you are editing code from an <strong>object event </strong>in the script editor and you have maximised the script editor or have it on a separate window or workspace, then the right-click <img_tag=RMB_Icon:0> editor menu will have some extra options:",<strong>オブジェクトイベント</strong>のコードを編集しているとき、別のウィンドウ、ワークスペースに分離するか最大化してからエディタ上を右クリック<img_tag=RMB_Icon:0>すると、メニューに以下の項目が現れます。
Scripts.htm+html.body.div.p.img[alt]:106-25,{IMG_TXT} Script Editor RMB Object Menu,{IMG_TXT} スクリプエトエディタのオブジェクトの右クリックメニュー
Scripts.htm+html.body.div.ul.li:108-7,<strong>Restore to workspace</strong>: This will take the script editor out of a maximised/workspace state and re-chain it to the object in the workspace.,<strong>ワークスペースに復元</strong>: スクリプトエディタの最大化/ワークスペース状態を解除し、ワークスペースの元オブジェクトに繋ぎ直します。
Scripts.htm+html.body.div.ul.li:109-7,<strong>Go to Object</strong>: This will take you to the workspace that the object with the code is on and focus on the object.,<strong>オブジェクトに移動</strong>: ワークスペースを開き、スクリプトの元オブジェクトに移動します。
Scripts.htm+html.body.div.ul.li:110-7,"<strong>Add /Open Event</strong>: This permits you to add a new event to the object the current script belongs to, and will open a new code tab in the Script Editor for the added event. If the event selected already has code in it, then this will be opened in a new tab.",<strong>イベントを追加/開く</strong>: スクリプトの元オブジェクトに新しいイベントを追加し、そのイベントを別のタブで開きます。イベントにコードがすでにある場合、別のタブで開くだけとなります。
