Object_Variables.htm+html.head.title:55-3,Object Variables,オブジェクト変数
Object_Variables.htm+html.head.title:59-3,Object Variables,オブジェクト変数
Object_Variables.htm+html.body.div.div.div[title]:73-7,Object Variables,オブジェクト変数
Object_Variables.htm+html.body.div.div.div:73-7,Object Variables,オブジェクト変数
Object_Variables.htm+html.body.h1:86-3,Object Variables,オブジェクト変数
Object_Variables.htm+html.body.p:87-3,"When you click on the <strong>Variables </strong>button it will open up the <strong>Object Variables </strong>window, which you can then use to generate any number of variables <em>before </em>the Create Event of the object:",<strong>変数</strong>ボタンをクリックすると、このように<strong>オブジェクト変数</strong>ウィンドウが開きます。ここではオブジェクトのCreateイベントの<em></em>前に生じる変数を追加できます。
Object_Variables.htm+html.body.p.img[alt]:88-6,{IMG_TXT} Object Editor Variables Window,{IMG_TXT} オブジェクトエディタの変数ウィンドウ
Object_Variables.htm+html.body.p:88-3,In this window you can click on the button <strong>Add </strong>to add a new variable to the list. You can then <strong>name </strong>the variable as well as set its <strong>type </strong>and adjust its <strong>properties</strong>:,ウィンドウの<strong>追加</strong>ボタンをクリックすると、新しい変数が一覧に追加されます。追加した変数には<strong>名前</strong>をつけたり、<strong>型</strong>の割り当て、<strong>設定値</strong>の変更が可能です。
Object_Variables.htm+html.body.p.img[alt]:90-6,{IMG_TXT} Object Editor New Variable,{IMG_TXT} オブジェクトエディタの新規変数
Object_Variables.htm+html.body.p:90-3,"The variable name must start with a letter and can contain only letters, numbers, and the underscore symbol '_' with a maximum length of 64 symbols. So, valid variables are things like <span class=""inline"">fish</span>, <span class=""inline"">foo_bar</span>, <span class=""inline"">num1</span>, and <em>invalid</em> variables would be <span class=""inline"">6fish</span>, <span class=""inline"">foo bar</span>, or <span class=""inline"">*num</span>. Once you have given the name of the variable you need to set its type, which can be any of the following:<img_tag=Object_Editor_Variable_Types:0>It is worth noting that this feature is particularly useful when working with parent/child instances - since you can have a parent object with a set of defined variables and then simply modify them in child object (see the section <strong>Object Variables And Child Objects</strong> below for more details) - and for when you add instances into the <a href=""../Rooms.htm"">Room Editor</a> (see the section on <strong>Layers </strong>&gt; <strong>Instance Layer</strong>), since you can also modify these variables for individual instances that have been placed in the room.","変数の名前は文字から始まる名前にしなくてはなりません。また、利用できるのは64字までの英数字または'_'記号のみとなります。<span class=""inline"">fish</span>、<span class=""inline"">foo_bar</span>、<span class=""inline"">num1</span>などは有効な変数となりますが、<span class=""inline"">6fish</span>、<span class=""inline"">foo bar</span>、<span class=""inline"">*num</span>などは<em></em>無効な変数となります。名前をつけたら、以下のうちから型を選ばなくてはなりません。<img_tag=Object_Editor_Variable_Types:0>オブジェクト変数は、親と子のインスタンスを扱うにあたって特に役立つ機能です。親オブジェクトに変数を定義すれば、子オブジェクトでは値を変更するだけで済みます（詳しくは下記の<strong>オブジェクト変数と子オブジェクト</strong>をお読みください）。また、<a href=""../Rooms.htm"">ルームエディタ</a>にインスタンスを追加した場合も同じように（<strong>レイヤー</strong> &gt; <strong>インスタンスレイヤー</strong>の段落を参照）、ルームに配置された個々のインスタンスの変数を変更することができます。"
Object_Variables.htm+html.body.p:94-3,The different types of variable that you can create are listed below:,作成できる変数の型は以下のとおりです。
Object_Variables.htm+html.body.ul.li:96-5,"<strong>Real</strong>: A real number is any number that is not a whole integer and can be positive or negative. So, <span class=""inline"">124.5</span>, <span class=""inline"">45639.566546456</span>, <span class=""inline"">0.9</span>, <span class=""inline"">-45.5</span> etc... are all examples of real numbers. All real numbers are stored as 64bit <a class=""tooltip"" title=""TITLE_KEY::floating_point"">floating point</a> values (doubles). The <strong>real </strong>(and <strong>integer</strong>)<strong> </strong>data types have an option for setting a range of values which can be accessed by clicking the <strong>Options</strong> <img_tag=Variable_Options_Icon:0> button:<img_tag=Object_Editor_Real_Variable_Options:0>When you check this you can then input a start value and an end value and instead of having a fixed value shown for the variable in the Object Variables window, you will have a slider that is clamped to these values:","<strong>Real（実数）</strong>: 実数とはそのものが整数でない数値であり、正の値にも負の値にもなります。たとえば<span class=""inline"">124.5</span>、<span class=""inline"">45639.566546456</span>、<span class=""inline"">0.9</span>、<span class=""inline"">-45.5</span>などが実数の例となります。実数はいずれも64bitの<a class=""tooltip"" title=""TITLE_KEY::floating_point"">浮動小数点</a>の値（Double型）として保存されます。<strong>実数</strong>（および<strong>整数</strong>）<strong></strong>のデータ型には値の範囲を設定できるオプションがあり、<strong>オプション</strong><img_tag=Variable_Options_Icon:0>ボタンをクリックすると利用できます。<img_tag=Object_Editor_Real_Variable_Options:0>チェックを入れると開始値と終了値を入力できるようになり、オブジェクト変数のウィンドウには固定値ではなく、範囲から値を固定できるスライダーが表示されます。"
Object_Variables.htm+html.body.ul.li.img[alt]:99-7,{IMG_TXT} Object Editor Variable Range,{IMG_TXT} オブジェクトエディタの変数範囲
Object_Variables.htm+html.body.ul.li:100-5,"<strong>Integer</strong>: An integer is a whole number and can be positive or negative, for example <span class=""inline"">30004</span>, <span class=""inline"">19</span>, <span class=""inline"">0</span>, <span class=""inline"">-300</span>. Note that you can set a range of values for the output integer, as explained above for real numbers.","<strong>Integer（整数）</strong>: 整数とはそのものが数値からなり、正の値にも負の値にもなる<span class=""inline"">30004</span>、<span class=""inline"">19</span>、<span class=""inline"">0</span>、<span class=""inline"">-300</span>のような値のことです。上記の実数で説明したように、整数の出力値にも範囲を設定できます。"
Object_Variables.htm+html.body.ul.li:102-5,"<strong>String</strong>: A string is anything that has been placed within double quotation marks, for example ""fish"", ""Hello World"", or ""12345"".","<strong>文字列</strong>: ダブルクォーテーション記号で囲むと文字列となります。たとえば""fish""、""Hello World""、""12345""などです。"
Object_Variables.htm+html.body.ul.li:103-5,"<strong>Boolean</strong>: A boolean is a value that is either true or false. In the Object Editor Variables window, this is simply shown as a box that you check for true and uncheck for false.",<strong>真偽値（Boolean）</strong>: 真偽値とはtrue（真）かfalse（偽）のどちらかにだけできる値です。オブジェクトエディタの変数ウィンドウにはチェックボックスとして表示され、チェックするとtrueに、チェックを外すとfalseになります。
Object_Variables.htm+html.body.ul.li:104-5,"<strong>Expression</strong>: An expression is a mathematical phrase that can contain ordinary numbers, variables, strings, or GML functions as well as one or more operators. For example <span class=""inline"">sqrt(85 * 6) + 5.5</span> is an expression.","<strong>式（Expression）</strong>: 式とは普通の数、変数、文字列、あるいはGML関数を含み、複数の演算式を利用できる数式文のことです。たとえば <span class=""inline"">sqrt(85 * 6) + 5.5</span>などは式となります。"
Object_Variables.htm+html.body.ul.li:105-5,"<strong>Resource</strong>: A resource is simply any one of the resources that you have defined in the Asset Browser. When you select this resource type, you can then click on the <strong>Open Asset Explorer </strong><img_tag=Open_Asset_Explorer_Icon:0> button to open the Asset Explorer and select the resource you require.",<strong>リソース</strong>: リソースは、アセットブラウザで設定したいずれかのリソースとなります。リソース型にしたときは、<strong>アセットエクスプローラーを開く</strong><img_tag=Open_Asset_Explorer_Icon:0>ボタンをクリックするとアセットエクスプローラーが開き、使いたいリソースを選択できます。
Object_Variables.htm+html.body.ul.li:106-5,"<strong>List</strong>: Selecting a list type of input means that you can then create a selection of values (these can be strings, reals, expressions etc...) of which you can then choose one or more for the variable to return. To define the items that go in the list you need to add them into the <strong>Options</strong> first (click the <img_tag=Variable_Options_Icon:0> button):<br /> <img_tag=List_Options:0>You will be able to choose the item as the default value for the variable in the main window from the drop down menu:<br /> <img_tag=Object_Editor_List_Menu:0>Note that if you have <strong>Multi-select</strong> ticked in the List Options then the variable will become an array of all the selected options:",<strong>リスト</strong>: リスト型を選んだ場合は、選択対象となる複数の値（文字列、実数、式などが利用可能です）を作成し、その中から指定した1つまたは複数の値を返すことができます。リストに含まれる項目を定義するには、まずは<img_tag=Variable_Options_Icon:0>ボタンをクリックして<strong>オプション</strong>から項目を追加しなくてはなりません。<br /><img_tag=List_Options:0>メインウィンドウのドロップダウンメニューから指定した項目が変数のデフォルト値となります。<br /><img_tag=Object_Editor_List_Menu:0>なお、リストのオプションにある<strong>複数選択</strong>をチェックした場合、選択したすべての項目を含めた配列となります。
Object_Variables.htm+html.body.ul.li.img[alt]:111-7,{IMG_TXT} List Array Options,{IMG_TXT} リストの配列オプション
Object_Variables.htm+html.body.ul.li:112-5,"<strong>Colour</strong>: The colour type is for you to define a colour value to be stored in the variable. You can input a real number (from 0 to 16777216, this will have an alpha value of 255), or a hex value (in the format of $RRGGBBAA), or you can double click <img_tag=LMB_Icon:0> on the colour swatch to open the <strong>Colour Picker</strong> and define the colour there.",<strong>カラー</strong>: カラー型は変数に保存されるカラーの値を設定できます。実数（0から16777216までの値で、255のアルファ値も含まれます）、16進数値（$RRGGBBAA形式）を入力できるほか、色見本をクリック<img_tag=LMB_Icon:0>すると<strong>カラーピッカー</strong>を開いて色を決めることができます。
Object_Variables.htm+html.body.h1:117-3,Object Variables And Child Objects,オブジェクト変数と子オブジェクト
Object_Variables.htm+html.body.p:118-3,"An important feature of the Object Variables is that they are <em>inherited </em>by any child objects that you have in the Asset Browser (see the section on <a href=""Parent_Objects.htm"">Parent Objects</a> for more information), which means that you can then choose to override or change any or all of them if you wish.","オブジェクト変数の大きな特徴は、アセットブラウザの子オブジェクトに<em></em>継承されるということであり（詳しくは<a href=""Parent_Objects.htm"">親オブジェクト</a>の該当項目を参照してください）、継承された変数のうち、指定したものだけを上書きあるいは変更できます。"
Object_Variables.htm+html.body.p:120-3,"When you create a child object of another object resource that has Variables defined for it, these will show up in the Object Variables window like this:",作成した子オブジェクトの親となるオブジェクトリソースに変数が定義されている場合、オブジェクト変数ウィンドウはこのように表示されます。
Object_Variables.htm+html.body.p.img[alt]:121-6,{IMG_TXT} Object Editor Variable In A Child Object,{IMG_TXT} オブジェクトエディタの子オブジェクトの変数
Object_Variables.htm+html.body.p:121-3,"You can see in the top image that the Parent object has four Object Variables and in the bottom image these are also shown, only ""greyed out"" and have the<strong> Inherited From Parent</strong> <img_tag=Inherited_From_Parent_Icon:0> icon to indicate that they have been inherited. These inherited variables can then be edited if you click the <strong>Override Variable</strong> <img_tag=Override_Variable_Icon:0> button, so you can then adjust the range slider or values, or select different items from lists, etc... Note that when you edit a parent variable <em>you can only change the defined value</em> but not the name, nor can you change the variable options. Also note that you can add in new Object Variables to child objects as well (and in the example image above you can see that ""Character Type"" is a new Object Variable only for the child object).","上の画像に表示されているのは親オブジェクトの4つの変数で、下の画像でも確認できますが薄く表示されており、継承された変数であることを示している<strong>親から継承</strong>アイコン<img_tag=Inherited_From_Parent_Icon:0>がついています。継承された変数は<strong>変数を上書き</strong>ボタン<img_tag=Override_Variable_Icon:0>をクリックすると編集可能で、範囲スライダーを調整したり、リストの別の項目を選ぶといったことができます。なお、親の変数では<em></em>定義値だけを変更でき、変数の名前やオプションなどは変更できません。また、子オブジェクトにも新しいオブジェクト変数を追加することは可能です（画像の例では、子オブジェクトにだけ""Character Type""という変数があります）。"
Object_Variables.htm+html.body.p:126-3,"If you have edited an inherited Object Variable, then you can click the Delete <img_tag=Delete_Variable_Icon:0> button to remove the edit, but not the variable. The variable will still be inherited from the parent, but will use the parent default value again. If you need to completely remove the variable, then you must do this from the parent object.",継承されたオブジェクト編集を編集した場合、削除ボタン<img_tag=Delete_Variable_Icon:0>をクリックすると編集内容を消去できますが、変数そのものは消せません。変数は引き続き親から継承され、親のデフォルト値がまた使用されるようになります。変数を完全に消したいなら、親オブジェクトから変数を削除する必要があります。
Object_Variables.htm+html.body.div.div.div.div:134-9,"Back: <a href=""../Objects.htm"">The Object Editor</a>","戻る: <a href=""../Objects.htm"">オブジェクトエディタ</a>"
Object_Variables.htm+html.body.div.div.div.div:135-9,"Next: <a href=""Object_Events.htm"">Object Events</a>","次へ: <a href=""Object_Events.htm"">オブジェクトイベント</a>"
Object_Variables.htm+html.body.p:147-1,{SEARCH_RESULT} Page detailing object variables,{SEARCH_RESULT} オブジェクト変数の詳細ページ
Object_Variables.htm+html.body.p:147-55,{INDEX_KEYWORD} Objects - Variables,{INDEX_KEYWORD} オブジェクト - 変数
Object_Variables.htm.img_tag+Delete_Variable_Icon:0,{IMG_TXT} Delete Variable Icon,{IMG_TXT} 変数を削除アイコン
Object_Variables.htm.img_tag+Inherited_From_Parent_Icon:0,{IMG_TXT} Inherited From Parent Icon,{IMG_TXT} 親から継承アイコン
Object_Variables.htm.img_tag+LMB_Icon:0,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Object_Variables.htm.img_tag+List_Options:0,{IMG_TXT} List Options,{IMG_TXT} リストオプション
Object_Variables.htm.img_tag+Object_Editor_List_Menu:0,{IMG_TXT} Object Editor List Menu,{IMG_TXT} オブジェクトエディタのリストメニュー
Object_Variables.htm.img_tag+Object_Editor_Real_Variable_Options:0,{IMG_TXT} Object Editor Real Variable Options,{IMG_TXT} オブジェクトエディタの実数オプション
Object_Variables.htm.img_tag+Object_Editor_Variable_Types:0,{IMG_TXT} Object Editor Variable Types,{IMG_TXT} オブジェクトエディタの変数タイプ
Object_Variables.htm.img_tag+Open_Asset_Explorer_Icon:0,{IMG_TXT} Open Asset Explorer Icon,{IMG_TXT} アセットエクスプローラーを開くアイコン
Object_Variables.htm.img_tag+Override_Variable_Icon:0,{IMG_TXT} Override Variable Icon,{IMG_TXT} 変数を上書きアイコン
Object_Variables.htm.img_tag+Variable_Options_Icon:0,{IMG_TXT} Variable Options Icon,{IMG_TXT} 変数オプションアイコン
