Room_Inheritance.htm+html.head.title:55-3,Room Inheritance,ルームの継承
Room_Inheritance.htm+html.head.title:59-3,Room Inheritance,ルームの継承
Room_Inheritance.htm+html.body.div.div.div[title]:73-7,Room Inheritance,ルームの継承
Room_Inheritance.htm+html.body.div.div.div:73-7,Room Inheritance,ルームの継承
Room_Inheritance.htm+html.body.h1:86-3,Room Inheritance,ルームの継承
Room_Inheritance.htm+html.body.p:87-3,"An important feature of the room editor is <strong>inheritance</strong>. Inheritance means that you can create a ""parent"" room then from that create a ""child"" room which will inherit all the parent room's properties. This child room is essentially a <em>clone </em>of the parent, and everything in it <strong>is linked to the parent room</strong>. This means that if you change the view in the parent, or move a tile, or add instances, it will be reflected in the child room. Not only that, in the child room you can selectively switch off inheritance for specific layers, instances, assets or anything else that is required.",ルームエディタには、<strong>継承</strong>という重要な機能があります。継承とは、あるルームを「親」のルームとし、それから親のルームのプロパティをすべて引き継いだ「子」のルームを作成するということを意味します。この子ルームは親ルームの<em>複製</em>といえるもので、あらゆる要素が<strong>親ルームとリンク</strong>しています。つまり親側のビューを変更したり、タイルを動かしたり、インスタンスを追加するなどした場合、そべてが子ルームにも反映されるということです。また、子ルームでは特定のレイヤー、インスタンス、アセットだけといったように、部分的に継承を無効にすることも可能です。
Room_Inheritance.htm+html.body.p:90-3,"A room that has inherited properties will have the inherit buttons lit - as shown by the image below - and you can then use them to toggle inheritance on or off for the given layer or resource, etc...",プロパティを引き継いでいるルームでは、以下の画像のように「継承ボタン」が強調表示されます。このボタンをクリックすると、レイヤーやリソースといった要素の継承を切り替えることができます。
Room_Inheritance.htm+html.body.p.img[alt]:91-6,{IMG_TXT} Room Inherit Buttons,{IMG_TXT} ルームの継承ボタン
Room_Inheritance.htm+html.body.p:91-3,"This can be a bit difficult to visualise at first, so let's look at an example: say you have a room with a city and a castle in the middle. The city and castle are drawn using different tile layers and you also have instances and some paths for NPCs to use to walk around. You want to have it so that in the game the castle is destroyed, but everything else in the city looks and behaves the same. You would create the initial room with everything as normal, then you'd create a child room which inherits the parent room layers. In the child room you'd switch <em>off </em>inheritance for the tile layer (or even individual tiles) for the castle area and them move/add/delete tiles to create the destroyed castle look. When a player enters that room, all the instances from the parent room and all the tiles etc... will remain exactly the same, except for those of the destroyed castle.",いきなりでは分かりづらいので、ちょっとした例を出しましょう。たとえば中央に町とお城が置かれたルームがあるとします。町とお城はそれぞれ別のタイルレイヤーで描画されており、その周りには道が敷かれ、NPCたちが歩いています。そしてゲームの途中で城が破壊されるものの、町の様子は元のままにしたいとしましょう。まずは通常どおりに初期ルームを作成し、それから親ルームのレイヤーを引き継ぐ子ルームを作成します。それから子ルームを開き、城用のタイルレイヤー（または個々のタイル）の継承を<em>「オフ」</em>に切り替えたのち、タイルを編集して破壊された見た目にしましょう。こうしてプレイヤーが子ルームに入った場合、親ルームのインスタンス、タイルといったすべてが同じものの、城だけが破壊されていることになります。
Room_Inheritance.htm+html.body.p:96-3,<strong>IMPORTANT!</strong> If you edit any inherited property it will automatically turn off inheritance in the section it belongs to without having to first toggle the inherit button.,<strong>重要！</strong> 継承されたプロパティに編集を加えた場合、ボタンをクリックしなくても自動的に継承が無効となります。
Room_Inheritance.htm+html.body.p:97-3,"To create room inheritance, you simply select the room you want to create a child from in the <a href=""../../Introduction/The_Asset_Browser.htm"">Asset Browser</a> and then right-click <img_tag=RMB_Icon:0>. This will open the room menu and there you can select <strong>Create Child </strong>to create a new child room. This will be created and ""attached"" to the parent visually in the Asset Browser:","ルームを継承させるには<a href=""../../Introduction/The_Asset_Browser.htm"">アセットブラウザ</a>から子を作成したいルームを選択し、右クリック<img_tag=RMB_Icon:0>してください。ルームのメニューが開きますので、<strong>子を作成</strong>を選びましょう。新しい子ルームが作成され、アセットブラウザでは親ルームに連結して表示されます。"
Room_Inheritance.htm+html.body.p.img[alt]:98-6,{IMG_TXT} Room Inheritance,{IMG_TXT} ルームの継承
Room_Inheritance.htm+html.body.p:98-3,"To change the room order and/or inheritance you need to use the <a href=""../../Settings/The_Room_Manager.htm"">Room Manager</a>, which you can open using the menu in the top right of the Asset Browser. Here you can go to the <em>Inheritance </em>tab and then click <img_tag=LMB_Icon:0> and drag any room onto any other room to have it become a child of that room (or drag a child room off a parent and break the inheritance).","ルームの順番および継承は、アセットブラウザ右上のメニューから<a href=""../../Settings/The_Room_Manager.htm"">ルームマネージャー</a>を開くと変更できます。「<em>継承関係</em>」のタブに切り替え、ルームを別のルームにドラッグ<img_tag=LMB_Icon:0>すると子にできます（子ルームを親ルームの外にドラッグすると継承を破棄することができます）"
Room_Inheritance.htm+html.body.p:101-3,"Note that, within a room, inheritance is multi-layered and you can check individual items, groups of items on a single layer, item properties, or whole rooms as inheriting, and you can also inherit from consecutive rooms (so room C inherits from room B, which in turn has inherited from Room A). If you create a base room with nothing in it except the view setup - for example - you can then create all further rooms as being its children and they will all inherit the view properties of the parent room. But you can go a step further and create another base room with the ""view"" room as its parent which holds the general <a class=""tooltip"" title=""TITLE_KEY::GUI"">GUI</a> instance and the controllers required in every game room. Now you can create child rooms from this and they will inherit both the controllers and GUIs from the parent room as well as the view setup from the parent of that room!","なお、ルームにおける継承は多層的なもので、一つ一つの要素、レイヤー内にある要素、それらのプロパティ、あるいはルーム全体を継承するようチェックできるほか、ルームを連続して継承することも可能です（ルームAを継承しているルームBを、さらにルームCが継承するといったように）たとえばビューの設定だけがされている基本ルームを作成し、以降のルームをすべてその子ルームとした場合、子ルームには元ルームからのビュープロパティが継承されます。それだけでなく、「ビュー」のルームを親とした新しい元ルームを作成し、すべてのルームに存在させたい<a class=""tooltip"" title=""TITLE_KEY::GUI"">GUI</a>用、管理用のオブジェクトを用意するといったことも可能です。こうしてから子ルームを作成すると、そのルームは親ルームから管理用、GUI用のオブジェクトを継承し、さらにその親ルームからビューの設定を継承します。"
Room_Inheritance.htm+html.body.p:105-3,"As you can hopefully see, inheritance is very powerful and you can use it to maintain a much cleaner room structure, speed up the workflow and generally optimise the time you spend making and designing rooms.",ここまでお読みいただいた通り、継承はとても役に立つもので、ルームの構造をすっきりさせ、速く作業できるようになるため、ルームのデザインに費やす時間を最小限にできます。
Room_Inheritance.htm+html.body.div.div.div.div:112-9,"Back: <a href=""../Rooms.htm"">The Room Editor</a>","戻る: <a href=""../Rooms.htm"">ルームエディタ</a>"
Room_Inheritance.htm+html.body.div.div.div.div:113-9,"Next: <a href=""Layer_Properties.htm"">Layer Types And Properties</a>","次へ: <a href=""Layer_Properties.htm"">レイヤーの種類とプロパティ</a>"
Room_Inheritance.htm+html.body.p:125-1,{SEARCH_RESULT} Page detailing the inheritance functionality of rooms,{SEARCH_RESULT} ルームの継承機能についての詳細ページ
Room_Inheritance.htm+html.body.p:125-77,{INDEX_KEYWORD} Rooms - Inheritance,{INDEX_KEYWORD} ルーム - 継承
Room_Inheritance.htm.img_tag+LMB_Icon:0,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Room_Inheritance.htm.img_tag+RMB_Icon:0,{IMG_TXT} RMB Icon,{IMG_TXT} 右クリックアイコン
