physics_particle_group_end.htm+html.head.title:55-3,physics_particle_group_end
physics_particle_group_end.htm+html.head.title:59-3,physics_particle_group_end
physics_particle_group_end.htm+html.body.div.div.div[title]:73-7,physics_particle_group_end
physics_particle_group_end.htm+html.body.div.div.div:73-7,physics_particle_group_end
physics_particle_group_end.htm+html.body.h1:86-3,physics_particle_group_end
physics_particle_group_end.htm+html.body.p:87-3,"This function is used to end the definition of a particle group shape. Calling this function will create the particles within the given shape parameters, and also return an ID value which can be stored and used in further functions for interactions with the particle group."
physics_particle_group_end.htm+html.body.h4:90-3,Syntax:
physics_particle_group_end.htm+html.body.p:91-3,physics_particle_group_end()
physics_particle_group_end.htm+html.body.h4:93-3,Returns:
physics_particle_group_end.htm+html.body.p:94-3,Real
physics_particle_group_end.htm+html.body.h4:96-3,Example:
physics_particle_group_end.htm+html.body.p:97-3,"{ANY_CODE} var flags = phy_particle_flag_water | phy_particle_flag_viscous | phy_particle_flag_tensile;<br /> var groupflags = phy_particle_group_flag_solid;<br /> physics_particle_group_begin(flags, groupflags, mouse_x, mouse_y, 0, 0, 0, 0, c_white, 1, 1, 2);<br /> physics_particle_group_circle(100); <br /> mLastGroup = physics_particle_group_end();"
physics_particle_group_end.htm+html.body.p:99-3,"The above code stores the flags for the particle type and the particle group properties in variables then uses these to create a circular particle group with a 100px radius at the mouse position. The ID for the group that has been created is stored in the variable ""mLastGroup""."
physics_particle_group_end.htm+html.body.div.div.div.div:106-9,"Back: <a href=""Soft_Body_Particles.htm"">Soft Body Particles</a>"
physics_particle_group_end.htm+html.body.div.div.div.div:107-9,"Next: <a href=""physics_particle_group_join.htm"">physics_particle_group_join</a>"
physics_particle_group_end.htm+html.body.p:119-1,{SEARCH_RESULT} Reference page for physics_particle_group_end
